	tiempo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	Coincidencia	Time_event	Num_event
192	425659240020.0	28816.0	28808.0	28812.0	28814.0	28814.0	28823.0	28818.0	28818.0	28821.0	28807.0	28813.0	28813.0	28818.0	28804.0	28813.0	28808.0	28814.0	28822.0	28816.0	28818.0	28815.0	28814.0	28818.0	28806.0	28817.0	28814.0	28826.0	28817.0	28810.0	28819.0	28813.0	28815.0	28818.0	28811.0	28810.0	28817.0	28814.0	28816.0	28819.0	28813.0	28822.0	28813.0	28811.0	28812.0	28817.0	28815.0	28808.0	28815.0	28827.0	28821.0	28811.0	28818.0	28805.0	28818.0	28820.0	28809.0	28825.0	28814.0	28817.0	28817.0	28809.0	28810.0	28806.0	28809.0	28807.0	28806.0	27981.0	6934.0	7049.0	7064.0	7095.0	7092.0	7098.0	7078.0	7076.0	7065.0	7060.0	8673.0	29193.0	28832.0	28822.0	28774.0	28767.0	28766.0	28771.0	28757.0	28750.0	28747.0	28754.0	28737.0	28725.0	28726.0	28718.0	28714.0	28714.0	28711.0	28716.0	28703.0	28697.0	28707.0	28702.0	28696.0	28705.0	28705.0	28719.0	28710.0	28720.0	28716.0	28727.0	28728.0	28729.0	28736.0	28748.0	28739.0	28745.0	28748.0	28753.0	28761.0	28762.0	28762.0	28772.0	28766.0	28772.0	28769.0	1.0	425659240087.0	193
193	425660544246.0	28824.0	28825.0	28825.0	28833.0	28830.0	28827.0	28822.0	28831.0	28830.0	28841.0	28824.0	28841.0	28824.0	28827.0	28831.0	28832.0	28829.0	28829.0	28833.0	28825.0	28833.0	28825.0	28826.0	28822.0	28826.0	28829.0	28827.0	28836.0	28825.0	28827.0	28826.0	28829.0	28831.0	28836.0	28841.0	28827.0	28831.0	28820.0	28838.0	28827.0	28827.0	28829.0	28833.0	28825.0	28831.0	28825.0	28833.0	28820.0	28835.0	28823.0	28827.0	28821.0	28832.0	28825.0	28834.0	28823.0	28821.0	28834.0	28819.0	28824.0	28833.0	28821.0	28827.0	28836.0	28839.0	28832.0	28829.0	11258.0	6969.0	7064.0	7106.0	7112.0	7099.0	7097.0	7097.0	7096.0	7085.0	7078.0	27190.0	28876.0	28851.0	28799.0	28779.0	28782.0	28779.0	28768.0	28767.0	28766.0	28758.0	28752.0	28753.0	28742.0	28743.0	28736.0	28739.0	28723.0	28730.0	28708.0	28722.0	28727.0	28719.0	28726.0	28732.0	28732.0	28724.0	28713.0	28727.0	28729.0	28735.0	28738.0	28738.0	28752.0	28749.0	28746.0	28763.0	28772.0	28761.0	28765.0	28771.0	28770.0	28777.0	28783.0	28783.0	28777.0	1.0	425660544314.0	194
194	425664954307.0	28870.0	28879.0	28875.0	28875.0	28884.0	28866.0	28875.0	28871.0	28880.0	28876.0	28866.0	28875.0	28877.0	28870.0	28882.0	28880.0	28875.0	28877.0	28878.0	28883.0	28878.0	28877.0	28880.0	28872.0	28874.0	28882.0	28877.0	28886.0	28878.0	28878.0	28873.0	28883.0	28875.0	28877.0	28872.0	28864.0	28872.0	28869.0	28867.0	28868.0	28880.0	28878.0	28874.0	28873.0	28871.0	28872.0	28883.0	28873.0	28871.0	28885.0	28875.0	28876.0	28878.0	28878.0	28890.0	28879.0	28876.0	28882.0	28873.0	28872.0	28863.0	28870.0	28888.0	28874.0	28885.0	28876.0	28857.0	9040.0	7078.0	7124.0	7158.0	7160.0	7155.0	7154.0	7137.0	7139.0	7130.0	7171.0	28537.0	28913.0	28875.0	28850.0	28830.0	28829.0	28816.0	28807.0	28820.0	28813.0	28806.0	28803.0	28798.0	28786.0	28795.0	28776.0	28771.0	28771.0	28775.0	28769.0	28774.0	28760.0	28765.0	28765.0	28772.0	28770.0	28767.0	28774.0	28773.0	28783.0	28780.0	28782.0	28792.0	28798.0	28786.0	28802.0	28796.0	28812.0	28811.0	28815.0	28830.0	28817.0	28826.0	28824.0	28820.0	28837.0	1.0	425664954374.0	195
195	425665938699.0	28901.0	28898.0	28888.0	28890.0	28893.0	28890.0	28894.0	28894.0	28898.0	28901.0	28901.0	28891.0	28901.0	28900.0	28891.0	28897.0	28897.0	28905.0	28895.0	28891.0	28891.0	28895.0	28892.0	28902.0	28894.0	28896.0	28894.0	28903.0	28900.0	28907.0	28894.0	28890.0	28906.0	28902.0	28894.0	28893.0	28891.0	28899.0	28894.0	28907.0	28902.0	28903.0	28897.0	28895.0	28900.0	28902.0	28896.0	28895.0	28901.0	28899.0	28902.0	28894.0	28899.0	28898.0	28897.0	28890.0	28898.0	28897.0	28896.0	28899.0	28900.0	28892.0	28889.0	28898.0	28899.0	28896.0	17202.0	6864.0	7132.0	7174.0	7187.0	7181.0	7154.0	7171.0	7152.0	7149.0	7149.0	21983.0	29036.0	28922.0	28865.0	28862.0	28846.0	28850.0	28842.0	28828.0	28827.0	28826.0	28814.0	28816.0	28806.0	28806.0	28802.0	28798.0	28794.0	28793.0	28790.0	28803.0	28781.0	28783.0	28789.0	28786.0	28791.0	28795.0	28792.0	28795.0	28797.0	28799.0	28794.0	28798.0	28808.0	28820.0	28818.0	28823.0	28829.0	28820.0	28827.0	28831.0	28830.0	28835.0	28840.0	28855.0	28843.0	28846.0	1.0	425665938766.0	196
196	425672019565.0	28960.0	28958.0	28973.0	28969.0	28966.0	28965.0	28976.0	28966.0	28957.0	28968.0	28967.0	28972.0	28958.0	28964.0	28968.0	28970.0	28961.0	28974.0	28962.0	28961.0	28958.0	28968.0	28979.0	28969.0	28969.0	28975.0	28971.0	28966.0	28964.0	28967.0	28971.0	28964.0	28960.0	28969.0	28965.0	28967.0	28958.0	28972.0	28961.0	28962.0	28964.0	28962.0	28964.0	28965.0	28960.0	28966.0	28967.0	28966.0	28963.0	28970.0	28969.0	28972.0	28964.0	28960.0	28970.0	28976.0	28966.0	28966.0	28964.0	28964.0	28961.0	28971.0	28970.0	28968.0	28959.0	28963.0	21749.0	6809.0	7218.0	7240.0	7260.0	7242.0	7244.0	7232.0	7230.0	7232.0	7231.0	17438.0	29201.0	28993.0	28939.0	28923.0	28922.0	28921.0	28909.0	28902.0	28907.0	28901.0	28895.0	28892.0	28885.0	28878.0	28872.0	28864.0	28868.0	28861.0	28850.0	28864.0	28857.0	28856.0	28859.0	28858.0	28863.0	28855.0	28852.0	28866.0	28865.0	28870.0	28870.0	28875.0	28886.0	28882.0	28883.0	28891.0	28888.0	28904.0	28895.0	28903.0	28916.0	28907.0	28908.0	28914.0	28919.0	28924.0	1.0	425672019632.0	197
197	425686667044.0	29146.0	29148.0	29149.0	29166.0	29149.0	29153.0	29160.0	29150.0	29155.0	29158.0	29158.0	29155.0	29148.0	29152.0	29157.0	29164.0	29149.0	29149.0	29150.0	29156.0	29147.0	29156.0	29151.0	29145.0	29155.0	29152.0	29153.0	29147.0	29152.0	29160.0	29155.0	29156.0	29160.0	29159.0	29157.0	29144.0	29157.0	29154.0	29148.0	29150.0	29159.0	29152.0	29143.0	29151.0	29160.0	29155.0	29141.0	29150.0	29155.0	29146.0	29148.0	29148.0	29148.0	29152.0	29137.0	29151.0	29155.0	29148.0	29148.0	29146.0	29139.0	29148.0	29147.0	29144.0	29139.0	29144.0	29047.0	8130.0	7373.0	7402.0	7425.0	7436.0	7429.0	7411.0	7417.0	7401.0	7402.0	7657.0	29260.0	29174.0	29156.0	29104.0	29103.0	29094.0	29094.0	29096.0	29082.0	29076.0	29085.0	29080.0	29063.0	29066.0	29049.0	29059.0	29045.0	29046.0	29038.0	29039.0	29041.0	29037.0	29030.0	29042.0	29042.0	29041.0	29044.0	29043.0	29047.0	29053.0	29058.0	29056.0	29062.0	29059.0	29069.0	29068.0	29080.0	29083.0	29073.0	29090.0	29083.0	29093.0	29095.0	29097.0	29090.0	29096.0	1.0	425686667111.0	198
198	425687137304.0	29142.0	29155.0	29144.0	29150.0	29147.0	29153.0	29144.0	29149.0	29148.0	29155.0	29154.0	29156.0	29153.0	29152.0	29153.0	29160.0	29156.0	29159.0	29156.0	29146.0	29162.0	29158.0	29161.0	29156.0	29158.0	29163.0	29154.0	29159.0	29154.0	29150.0	29148.0	29149.0	29148.0	29162.0	29158.0	29153.0	29157.0	29148.0	29165.0	29150.0	29155.0	29158.0	29163.0	29156.0	29162.0	29150.0	29162.0	29149.0	29145.0	29163.0	29149.0	29138.0	29151.0	29143.0	29154.0	29141.0	29153.0	29154.0	29154.0	29148.0	29149.0	29152.0	29153.0	29153.0	29150.0	29160.0	29153.0	12224.0	7278.0	7388.0	7434.0	7445.0	7428.0	7427.0	7415.0	7413.0	7414.0	7405.0	26887.0	29216.0	29162.0	29126.0	29103.0	29103.0	29097.0	29088.0	29081.0	29089.0	29082.0	29081.0	29069.0	29064.0	29061.0	29064.0	29060.0	29056.0	29039.0	29045.0	29040.0	29044.0	29043.0	29045.0	29041.0	29047.0	29039.0	29051.0	29043.0	29062.0	29049.0	29065.0	29060.0	29060.0	29065.0	29076.0	29069.0	29084.0	29085.0	29079.0	29083.0	29083.0	29093.0	29100.0	29098.0	29109.0	1.0	425687137372.0	199
199	425687326269.0	29157.0	29160.0	29154.0	29159.0	29169.0	29161.0	29164.0	29164.0	29150.0	29160.0	29162.0	29160.0	29160.0	29159.0	29159.0	29164.0	29161.0	29157.0	29152.0	29152.0	29161.0	29162.0	29149.0	29155.0	29150.0	29148.0	29155.0	29155.0	29158.0	29151.0	29158.0	29161.0	29161.0	29150.0	29152.0	29158.0	29166.0	29154.0	29156.0	29160.0	29151.0	29151.0	29152.0	29151.0	29155.0	29154.0	29166.0	29159.0	29161.0	29157.0	29156.0	29162.0	29162.0	29150.0	29155.0	29150.0	29159.0	29150.0	29149.0	29157.0	29155.0	29155.0	29166.0	29160.0	29151.0	29163.0	28844.0	7644.0	7385.0	7405.0	7437.0	7451.0	7433.0	7421.0	7420.0	7419.0	7404.0	8146.0	29448.0	29189.0	29162.0	29110.0	29108.0	29108.0	29111.0	29104.0	29102.0	29096.0	29078.0	29083.0	29070.0	29072.0	29073.0	29060.0	29054.0	29054.0	29049.0	29047.0	29050.0	29046.0	29048.0	29046.0	29041.0	29049.0	29050.0	29050.0	29044.0	29055.0	29062.0	29068.0	29063.0	29070.0	29073.0	29087.0	29085.0	29097.0	29088.0	29090.0	29098.0	29104.0	29093.0	29109.0	29102.0	29108.0	1.0	425687326336.0	200
200	425689223301.0	29181.0	29169.0	29187.0	29185.0	29175.0	29183.0	29179.0	29183.0	29180.0	29177.0	29182.0	29186.0	29178.0	29188.0	29176.0	29183.0	29177.0	29187.0	29187.0	29181.0	29187.0	29183.0	29179.0	29175.0	29186.0	29184.0	29194.0	29177.0	29183.0	29182.0	29179.0	29182.0	29189.0	29178.0	29191.0	29182.0	29185.0	29177.0	29184.0	29180.0	29176.0	29178.0	29192.0	29178.0	29185.0	29183.0	29176.0	29183.0	29175.0	29185.0	29192.0	29175.0	29181.0	29186.0	29181.0	29182.0	29187.0	29181.0	29188.0	29188.0	29179.0	29182.0	29187.0	29181.0	29185.0	29176.0	16958.0	7175.0	7410.0	7455.0	7469.0	7456.0	7450.0	7450.0	7440.0	7436.0	7430.0	22878.0	29315.0	29209.0	29159.0	29137.0	29125.0	29122.0	29117.0	29117.0	29118.0	29108.0	29099.0	29097.0	29107.0	29097.0	29094.0	29086.0	29067.0	29071.0	29074.0	29068.0	29072.0	29072.0	29067.0	29068.0	29078.0	29073.0	29068.0	29069.0	29086.0	29082.0	29080.0	29086.0	29094.0	29095.0	29103.0	29103.0	29113.0	29105.0	29105.0	29130.0	29126.0	29136.0	29128.0	29130.0	29139.0	29132.0	1.0	425689223368.0	201
201	425689550647.0	29177.0	29173.0	29181.0	29179.0	29190.0	29182.0	29182.0	29177.0	29173.0	29186.0	29187.0	29180.0	29181.0	29180.0	29184.0	29187.0	29172.0	29178.0	29184.0	29188.0	29177.0	29179.0	29180.0	29181.0	29180.0	29172.0	29185.0	29184.0	29177.0	29187.0	29173.0	29169.0	29178.0	29175.0	29191.0	29176.0	29183.0	29177.0	29181.0	29184.0	29185.0	29172.0	29187.0	29176.0	29169.0	29179.0	29177.0	29178.0	29177.0	29181.0	29185.0	29175.0	29186.0	29189.0	29184.0	29182.0	29180.0	29174.0	29189.0	29182.0	29183.0	29181.0	29179.0	29174.0	29176.0	29179.0	28894.0	7669.0	7417.0	7437.0	7458.0	7465.0	7459.0	7459.0	7449.0	7440.0	7441.0	8215.0	29472.0	29199.0	29176.0	29136.0	29129.0	29124.0	29111.0	29121.0	29109.0	29109.0	29111.0	29104.0	29100.0	29090.0	29084.0	29088.0	29072.0	29076.0	29080.0	29069.0	29077.0	29063.0	29074.0	29078.0	29072.0	29069.0	29070.0	29072.0	29091.0	29095.0	29080.0	29075.0	29084.0	29095.0	29090.0	29103.0	29108.0	29108.0	29109.0	29117.0	29124.0	29118.0	29135.0	29128.0	29134.0	29139.0	1.0	425689550714.0	202
